id,text
1,Checkout with PayPal is still broken! It timed out again.
2,Paypal checkout error 500 when I try to buy the pro plan.
3,I can't believe PayPal checkout is still down. Losing my patience.
4,I found a bug on the login screen where the password eye icon doesn't work.
5,The PDF export feature you just added is amazing, thanks!
6,Still waiting for that Slack integration...
7,Can you add a way to filter the dashboard by date?
8,The app crashes on my Android whenever I open the settings.
9,The new update made the dashboard much faster, great job.
10,Please fix the checkout page! I want to give you my money but I can't.
